symbol,timeframe,trades,win_rate,net_profit,profit_factor,expectancy,max_drawdown_pct,status
EURUSD,M1,,,,,,,pending
EURUSD,M5,,,,,,,pending
EURUSD,M15,,,,,,,pending
EURUSD,M30,,,,,,,pending
EURUSD,H1,,,,,,,pending
GBPUSD,M1,,,,,,,pending
GBPUSD,M5,,,,,,,pending
GBPUSD,M15,,,,,,,pending
GBPUSD,M30,,,,,,,pending
GBPUSD,H1,,,,,,,pending
USDJPY,M1,,,,,,,pending
USDJPY,M5,,,,,,,pending
USDJPY,M15,,,,,,,pending
USDJPY,M30,,,,,,,pending
USDJPY,H1,,,,,,,pending
XAUUSD,M1,,,,,,,pending
XAUUSD,M5,,,,,,,pending
XAUUSD,M15,,,,,,,pending
XAUUSD,M30,,,,,,,pending
XAUUSD,H1,,,,,,,pending
BTCUSD,M1,,,,,,,pending
BTCUSD,M5,,,,,,,pending
BTCUSD,M15,,,,,,,pending
BTCUSD,M30,,,,,,,pending
BTCUSD,H1,,,,,,,pending
ETHUSD,M1,,,,,,,pending
ETHUSD,M5,,,,,,,pending
ETHUSD,M15,,,,,,,pending
ETHUSD,M30,,,,,,,pending
ETHUSD,H1,,,,,,,pending
